Season,team,Games_L,Games_W,PointsScored_L,PointsScored_W,PointsAllowed_L,PointsAllowed_W,Margin_L,Margin_W
1985,1177,9,18,595,1340,656,1072,-61,268
1985,1178,12,15,857,1133,975,1008,-118,125
1985,1179,15,9,912,653,1093,550,-181,103
1985,1180,18,10,1120,755,1340,682,-220,73
1985,1181,7,22,505,1793,562,1407,-57,386
1985,1182,18,9,1116,599,1378,542,-262,57
1985,1183,10,17,715,1297,761,1141,-46,156
1985,1184,13,12,776,829,901,716,-125,113
1985,1185,13,14,928,1102,1001,1005,-73,97
1985,1186,15,8,869,616,1113,541,-244,75
1985,1187,21,4,1313,281,1589,244,-276,37
1985,1190,18,8,1111,610,1344,564,-233,46
1985,1191,16,11,1090,820,1252,756,-162,64
1985,1192,9,19,537,1364,604,1208,-67,156
1985,1193,17,10,1227,774,1409,716,-182,58
1985,1196,11,17,688,1339,795,1121,-107,218
1985,1197,16,8,1045,712,1254,625,-209,87
1985,1199,16,10,1099,839,1208,706,-109,133
1985,1200,11,19,653,1365,717,1195,-64,170
1985,1201,8,20,454,1211,507,1024,-53,187
1985,1202,21,5,1277,332,1498,296,-221,36
1985,1203,14,13,824,1062,942,834,-118,228
1985,1204,5,20,323,1397,354,1139,-31,258
1985,1206,11,17,808,1389,903,1152,-95,237
1985,1207,2,25,128,1917,131,1491,-3,426
1985,1208,8,19,554,1541,603,1238,-49,303
1985,1209,25,1,1645,73,2130,69,-485,4
1985,1210,7,24,444,1754,495,1413,-51,341
1985,1211,13,12,690,734,806,653,-116,81
1985,1212,18,6,1050,422,1369,375,-319,47
1985,1215,17,8,1087,545,1226,489,-139,56
1985,1216,20,6,1287,416,1566,395,-279,21
1985,1217,9,12,513,847,588,758,-75,89
1985,1218,18,10,1213,732,1384,662,-171,70
1985,1220,15,11,1028,857,1185,736,-157,121
1985,1221,19,8,1248,611,1473,553,-225,58
1985,1222,13,13,936,1072,1038,955,-102,117
1985,1223,8,17,473,1235,535,1058,-62,177
1985,1224,10,16,603,1126,681,958,-78,168
1985,1225,21,5,1451,394,1696,329,-245,65
1985,1226,18,10,1208,871,1413,722,-205,149
1985,1227,13,13,884,940,1088,837,-204,103
1985,1228,8,23,431,1684,493,1285,-62,399
1985,1229,7,20,449,1484,515,1257,-66,227
1985,1231,13,15,779,1186,910,929,-131,257
1985,1232,15,11,1074,912,1219,827,-145,85
1985,1233,4,25,291,1868,327,1619,-36,249
1985,1234,10,20,567,1525,622,1156,-55,369
1985,1235,12,17,815,1271,926,1051,-111,220
1985,1238,16,8,986,614,1195,550,-209,64
1985,1239,14,13,872,983,989,817,-117,166
1985,1241,14,12,800,814,928,731,-128,83
1985,1242,7,23,472,1809,534,1578,-62,231
1985,1243,14,12,877,902,1024,735,-147,167
1985,1245,12,16,783,1240,878,1107,-95,133
1985,1246,12,16,755,1082,849,922,-94,160
1985,1247,13,15,891,1169,1050,1046,-159,123
1985,1248,13,13,808,830,939,726,-131,104
1985,1249,11,19,694,1546,758,1255,-64,291
1985,1250,18,11,1085,822,1280,756,-195,66
1985,1253,23,2,1457,144,1739,138,-282,6
1985,1254,13,11,928,848,1031,764,-103,84
1985,1256,2,26,136,2034,156,1659,-20,375
1985,1257,14,14,901,1022,1028,900,-127,122
1985,1258,16,7,1029,503,1206,436,-177,67
1985,1259,13,14,851,1033,984,898,-133,135
1985,1260,5,25,405,2170,466,1906,-61,264
1985,1261,9,19,564,1510,632,1303,-68,207
1985,1263,17,10,1158,692,1386,626,-228,66
1985,1264,20,8,1190,613,1375,544,-185,69
1985,1265,12,16,714,1039,780,868,-66,171
1985,1266,10,18,584,1257,674,992,-90,265
1985,1267,12,19,811,1484,873,1265,-62,219
1985,1268,11,22,694,1678,755,1424,-61,254
1985,1269,15,12,890,864,1029,781,-139,83
1985,1270,10,14,692,1105,790,963,-98,142
1985,1271,23,2,1334,148,1802,133,-468,15
1985,1272,3,26,195,1984,206,1670,-11,314
1985,1273,8,20,542,1671,583,1406,-41,265
1985,1275,10,18,690,1350,764,1152,-74,198
1985,1276,3,25,197,2036,232,1703,-35,333
1985,1277,9,19,638,1389,707,1144,-69,245
1985,1278,15,13,947,907,1138,805,-191,102
1985,1279,17,8,959,496,1207,462,-248,34
1985,1280,15,11,876,793,1019,659,-143,134
1985,1281,13,16,892,1165,1045,989,-153,176
1985,1283,13,13,777,1029,893,870,-116,159
1985,1284,15,9,1024,658,1174,605,-150,53
1985,1285,7,18,458,1282,510,1088,-52,194
1985,1286,16,9,1015,721,1176,603,-161,118
1985,1287,20,3,1179,233,1473,220,-294,13
1985,1288,24,2,1639,160,2262,141,-623,19
1985,1290,11,11,844,895,947,678,-103,217
1985,1292,13,13,871,877,963,782,-92,95
1985,1293,8,16,456,1131,482,948,-26,183
1985,1296,16,9,973,711,1183,642,-210,69
1985,1298,5,23,348,1842,377,1508,-29,334
1985,1299,8,16,501,1202,629,990,-128,212
1985,1301,9,20,577,1569,657,1236,-80,333
1985,1304,13,12,844,910,949,774,-105,136
1985,1305,9,19,623,1562,712,1383,-89,179
1985,1306,22,7,1291,410,1532,379,-241,31
1985,1307,12,17,794,1226,897,1036,-103,190
1985,1308,20,7,1334,533,1570,491,-236,42
1985,1309,19,10,1162,748,1401,656,-239,92
1985,1310,12,15,751,1130,886,991,-135,139
1985,1311,8,15,534,1124,563,977,-29,147
1985,1314,8,23,539,1778,585,1495,-46,283
1985,1317,22,4,1357,283,1737,271,-380,12
1985,1318,8,20,579,1580,612,1329,-33,251
1985,1319,12,14,767,1008,909,909,-142,99
1985,1320,16,8,980,550,1150,502,-170,48
1985,1321,22,4,1174,259,1495,226,-321,33
1985,1322,23,1,1524,72,1887,62,-363,10
1985,1323,8,20,542,1414,592,1152,-50,262
1985,1325,7,20,475,1349,528,1173,-53,176
1985,1326,9,19,664,1514,728,1319,-64,195
1985,1327,19,3,1229,213,1479,181,-250,32
1985,1328,5,25,375,2320,425,1871,-50,449
1985,1329,15,11,1096,830,1240,704,-144,126
1985,1330,11,18,762,1364,873,1196,-111,168
1985,1331,15,14,1076,1081,1188,933,-112,148
1985,1332,16,13,929,861,1046,778,-117,83
1985,1333,8,21,453,1342,524,1136,-71,206
1985,1334,19,7,1128,518,1413,470,-285,48
1985,1335,13,13,823,954,920,829,-97,125
1985,1336,19,5,1175,351,1404,320,-229,31
1985,1337,7,20,535,1508,583,1314,-48,194
1985,1338,11,15,697,1129,825,934,-128,195
1985,1339,14,10,829,645,973,596,-144,49
1985,1341,21,5,1367,404,1663,369,-296,35
1985,1343,15,9,685,577,844,511,-159,66
1985,1344,19,10,1166,724,1424,665,-258,59
1985,1345,8,17,537,1191,655,978,-118,213
1985,1347,12,14,692,1039,834,868,-142,171
1985,1348,20,6,1208,421,1430,389,-222,32
1985,1349,16,8,1003,515,1173,492,-170,23
1985,1350,10,19,589,1416,680,1131,-91,285
1985,1351,15,11,988,804,1186,714,-198,90
1985,1352,19,7,1202,499,1423,447,-221,52
1985,1353,14,16,936,1254,1076,1067,-140,187
1985,1354,15,9,952,685,1142,581,-190,104
1985,1356,14,12,949,943,1064,824,-115,119
1985,1359,11,15,744,1215,856,1021,-112,194
1985,1360,11,12,621,774,720,696,-99,78
1985,1361,7,23,512,1911,554,1611,-42,300
1985,1363,13,14,796,1087,899,919,-103,168
1985,1364,16,10,1000,760,1164,668,-164,92
1985,1365,8,16,523,1207,589,994,-66,213
1985,1368,8,15,521,1143,590,1009,-69,134
1985,1371,18,7,1249,544,1424,488,-175,56
1985,1373,7,20,447,1465,524,1222,-77,243
1985,1374,8,22,546,1733,587,1432,-41,301
1985,1375,13,14,902,1152,992,927,-90,225
1985,1376,13,13,871,1037,1091,838,-220,199
1985,1378,11,17,685,1227,749,1020,-64,207
1985,1379,20,5,1320,365,1516,312,-196,53
1985,1380,10,18,734,1640,800,1375,-66,265
1985,1382,15,12,866,872,1030,723,-164,149
1985,1383,21,3,1184,174,1436,156,-252,18
1985,1384,18,8,1314,662,1528,606,-214,56
1985,1385,3,27,208,2076,239,1693,-31,383
1985,1386,11,18,645,1234,783,990,-138,244
1985,1387,15,10,876,701,1028,576,-152,125
1985,1388,12,11,690,811,780,681,-90,130
1985,1389,14,14,804,979,915,841,-111,138
1985,1390,17,7,1067,493,1261,415,-194,78
1985,1391,14,10,864,709,1099,627,-235,82
1985,1393,8,21,564,1576,624,1345,-60,231
1985,1395,12,13,763,907,830,793,-67,114
1985,1396,5,24,304,1599,327,1345,-23,254
1985,1397,14,18,930,1463,1090,1231,-160,232
1985,1398,19,7,1204,477,1418,416,-214,61
1985,1399,8,15,562,1043,628,903,-66,140
1985,1400,13,12,774,836,882,734,-108,102
1985,1401,9,17,558,1220,610,1061,-52,159
1985,1402,19,6,1191,393,1515,336,-324,57
1985,1403,7,22,408,1596,443,1382,-35,214
1985,1405,12,15,771,1102,851,978,-80,124
1985,1406,20,5,1259,368,1495,351,-236,17
1985,1408,13,14,721,955,825,817,-104,138
1985,1409,7,22,520,1807,550,1548,-30,259
1985,1410,16,8,1030,555,1190,463,-160,92
1985,1411,16,10,1110,731,1227,616,-117,115
1985,1412,8,22,494,1487,541,1310,-47,177
1985,1414,17,11,1243,914,1397,835,-154,79
1985,1416,17,9,1006,577,1300,528,-294,49
1985,1417,12,15,768,1086,867,881,-99,205
1985,1418,13,14,886,1125,1006,861,-120,264
1985,1419,12,15,846,1119,935,932,-89,187
1985,1423,16,9,1024,607,1225,512,-201,95
1985,1424,3,27,187,2293,242,1935,-55,358
1985,1425,9,19,529,1386,602,1207,-73,179
1985,1426,16,9,1114,692,1377,633,-263,59
1985,1427,9,16,625,1256,686,1089,-61,167
1985,1428,16,14,1119,1013,1251,928,-132,85
1985,1429,11,16,863,1402,1007,1244,-144,158
1985,1431,9,20,599,1535,650,1266,-51,269
1985,1432,12,11,704,756,808,638,-104,118
1985,1433,5,25,313,1860,340,1537,-27,323
1985,1434,19,5,1159,356,1466,312,-307,44
1985,1435,17,11,1123,850,1290,737,-167,113
1985,1436,19,6,1091,371,1418,330,-327,41
1985,1437,10,19,657,1416,735,1202,-78,214
1985,1438,15,13,863,827,964,733,-101,94
1985,1439,8,19,579,1612,639,1229,-60,383
1985,1440,14,12,831,709,936,658,-105,51
1985,1441,14,11,968,834,1099,702,-131,132
1985,1442,13,11,799,833,956,737,-157,96
1985,1443,14,13,882,1007,1007,776,-125,231
1985,1444,16,9,1118,744,1317,646,-199,98
1985,1446,17,7,1168,506,1365,457,-197,49
1985,1447,16,8,1087,673,1253,619,-166,54
1985,1448,13,14,863,1080,970,880,-107,200
1985,1449,9,22,510,1509,592,1224,-82,285
1985,1450,15,11,887,769,1053,685,-166,84
1985,1451,9,17,592,1444,659,1158,-67,286
1985,1452,8,18,497,1287,565,1112,-68,175
1985,1453,22,2,1309,129,1528,114,-219,15
1985,1455,12,17,805,1431,881,1203,-76,228
1985,1456,12,15,723,1054,865,919,-142,135
1985,1458,14,12,904,879,1103,780,-199,99
1985,1461,14,12,830,823,960,744,-130,79
1985,1462,13,15,856,1153,955,1010,-99,143
1985,1463,12,11,804,746,975,695,-171,51
1985,1464,11,16,694,1166,806,1012,-112,154
1986,1102,19,6,1065,399,1281,361,-216,38
1986,1103,7,18,490,1335,562,1157,-72,178
1986,1104,8,22,529,1728,602,1417,-73,311
1986,1106,16,8,1206,686,1381,637,-175,49
1986,1108,11,14,761,1132,899,973,-138,159
1986,1109,19,5,1713,456,2082,395,-369,61
1986,1110,18,7,1148,537,1387,493,-239,44
1986,1111,12,13,708,853,867,793,-159,60
1986,1112,8,21,496,1476,531,1263,-35,213
1986,1113,14,11,915,798,1066,731,-151,67
1986,1114,9,21,660,1738,727,1463,-67,275
1986,1116,16,12,1079,876,1207,776,-128,100
1986,1117,11,14,690,1022,812,890,-122,132
1986,1119,18,8,1028,534,1223,482,-195,52
1986,1120,10,17,625,1309,685,1112,-60,197
1986,1121,17,8,1049,586,1229,521,-180,65
1986,1122,14,12,926,870,1104,786,-178,84
1986,1123,9,20,587,1539,682,1351,-95,188
1986,1124,16,7,870,420,1058,373,-188,47
1986,1126,22,7,1474,526,1795,495,-321,31
1986,1129,15,10,894,716,1076,630,-182,86
1986,1130,15,12,1033,923,1197,781,-164,142
1986,1131,9,20,592,1430,682,1201,-90,229
1986,1132,19,7,1244,523,1471,484,-227,39
1986,1133,2,30,134,2145,155,1878,-21,267
1986,1134,21,6,1427,414,1737,378,-310,36
1986,1135,10,14,671,1088,805,958,-134,130
1986,1137,12,13,750,950,918,844,-168,106
1986,1139,19,5,1192,363,1426,300,-234,63
1986,1140,13,16,859,1241,944,1095,-85,146
1986,1141,17,8,1058,568,1235,498,-177,70
1986,1143,9,17,528,1215,609,1054,-81,161
1986,1144,18,5,972,362,1197,320,-225,42
1986,1145,8,19,484,1273,578,1077,-94,196
1986,1147,17,10,1188,749,1359,701,-171,48
1986,1149,9,15,619,1144,726,973,-107,171
1986,1150,20,5,1327,375,1546,349,-219,26
1986,1151,9,18,555,1333,657,1184,-102,149
1986,1152,6,18,381,1440,460,1212,-79,228
1986,1153,16,10,1009,764,1186,706,-177,58
1986,1154,16,8,1095,623,1287,573,-192,50
1986,1155,14,17,946,1367,1076,1010,-130,357
1986,1156,3,24,241,2144,269,1639,-28,505
1986,1159,22,,1043,,1285,,-242,
1986,1160,20,6,1373,487,1694,410,-321,77
1986,1161,18,8,1044,585,1227,499,-183,86
1986,1162,14,10,897,662,988,531,-91,131
1986,1163,16,11,995,822,1154,718,-159,104
1986,1164,17,8,1014,545,1238,497,-224,48
1986,1165,12,13,729,822,837,686,-108,136
1986,1166,16,9,868,589,1080,497,-212,92
1986,1168,15,14,928,1051,1045,909,-117,142
1986,1171,14,8,808,542,965,480,-157,62
1986,1172,10,16,623,1150,695,959,-72,191
1986,1173,12,17,786,1281,884,1073,-98,208
1986,1174,15,8,1124,560,1273,502,-149,58
1986,1175,17,10,1041,743,1176,666,-135,77
1986,1177,12,16,737,1203,877,961,-140,242
1986,1178,15,11,901,802,1051,710,-150,92
1986,1179,10,16,604,1077,699,955,-95,122
1986,1180,10,16,633,1317,714,1186,-81,131
1986,1181,2,32,172,2560,182,2110,-10,450
1986,1182,14,14,930,1040,1047,898,-117,142
1986,1183,13,15,931,1118,1065,966,-134,152
1986,1184,18,6,1101,444,1281,355,-180,89
1986,1185,18,8,1180,633,1394,541,-214,92
1986,1186,8,16,492,1172,561,1025,-69,147
1986,1187,16,8,950,494,1170,448,-220,46
1986,1190,16,11,1159,861,1308,763,-149,98
1986,1191,19,7,1141,483,1343,415,-202,68
1986,1192,8,18,505,1406,591,1176,-86,230
1986,1193,6,23,373,1529,439,1349,-66,180
1986,1196,12,16,788,1196,880,990,-92,206
1986,1197,16,9,1095,779,1294,662,-199,117
1986,1199,17,9,1251,728,1489,648,-238,80
1986,1200,16,13,916,873,1088,717,-172,156
1986,1201,15,13,783,805,940,726,-157,79
1986,1202,17,6,1009,452,1201,422,-192,30
1986,1203,16,9,1033,692,1234,612,-201,80
1986,1204,13,11,778,758,841,653,-63,105
1986,1206,11,18,743,1303,835,1095,-92,208
1986,1207,7,20,496,1591,526,1244,-30,347
1986,1208,12,16,846,1330,940,1065,-94,265
1986,1209,17,7,1264,535,1539,514,-275,21
1986,1210,6,24,381,1855,414,1504,-33,351
1986,1211,12,12,728,865,857,720,-129,145
1986,1212,12,10,685,670,908,596,-223,74
1986,1215,12,12,812,887,888,772,-76,115
1986,1216,16,12,960,788,1103,667,-143,121
1986,1217,18,4,1028,256,1322,227,-294,29
1986,1218,23,4,1465,327,1779,314,-314,13
1986,1220,11,17,781,1241,889,1109,-108,132
1986,1221,17,12,1125,943,1370,823,-245,120
1986,1222,14,11,985,914,1106,792,-121,122
1986,1223,14,10,811,760,972,690,-161,70
1986,1224,9,17,580,1197,649,1011,-69,186
1986,1225,18,8,1135,601,1355,549,-220,52
1986,1226,12,12,699,821,817,736,-118,85
1986,1227,16,11,1149,883,1375,787,-226,96
1986,1228,9,20,539,1584,565,1242,-26,342
1986,1229,14,14,811,902,931,775,-120,127
1986,1231,7,21,453,1681,527,1392,-74,289
1986,1232,17,9,985,546,1093,464,-108,82
1986,1233,15,14,982,931,1195,797,-213,134
1986,1234,11,16,718,1262,797,995,-79,267
1986,1235,10,17,671,1354,775,1138,-104,216
1986,1238,15,13,963,1006,1094,863,-131,143
1986,1239,9,19,554,1326,619,1119,-65,207
1986,1241,23,5,1364,357,1604,297,-240,60
1986,1242,3,30,240,2436,252,2000,-12,436
1986,1243,14,11,935,798,1072,651,-137,147
1986,1245,16,10,1004,719,1178,627,-174,92
1986,1246,3,28,175,2133,197,1715,-22,418
1986,1247,14,14,859,1144,988,902,-129,242
1986,1248,15,12,889,901,1074,763,-185,138
1986,1249,11,16,657,1246,783,1056,-126,190
1986,1250,15,10,1022,788,1122,694,-100,94
1986,1253,22,6,1442,393,1722,339,-280,54
1986,1254,19,6,1301,477,1538,448,-237,29
1986,1256,12,16,715,1203,805,1052,-90,151
1986,1257,7,26,507,2073,542,1710,-35,363
1986,1258,10,15,717,1213,826,1035,-109,178
1986,1259,11,15,737,1206,826,1072,-89,134
1986,1260,16,13,1164,1039,1310,917,-146,122
1986,1261,11,18,738,1419,824,1189,-86,230
1986,1263,19,7,1175,455,1415,409,-240,46
1986,1264,26,2,1588,173,2275,157,-687,16
1986,1265,11,17,694,1180,790,1016,-96,164
1986,1266,10,18,675,1365,724,1109,-49,256
1986,1267,10,17,722,1307,804,1148,-82,159
1986,1268,13,16,826,1197,923,974,-97,223
1986,1269,19,8,1104,558,1366,509,-262,49
1986,1270,10,17,641,1269,727,1111,-86,158
1986,1271,23,5,1340,369,1747,336,-407,33
1986,1272,5,26,366,2166,383,1712,-17,454
1986,1273,14,13,860,925,1014,796,-154,129
1986,1274,14,14,918,1088,1184,947,-266,141
1986,1275,6,22,429,1701,471,1440,-42,261
1986,1276,4,25,280,1958,321,1538,-41,420
1986,1277,7,21,539,1799,597,1379,-58,420
1986,1278,15,11,936,835,1120,718,-184,117
1986,1279,17,9,1077,616,1259,539,-182,77
1986,1280,21,7,1273,448,1482,396,-209,52
1986,1281,12,19,819,1474,961,1201,-142,273
1986,1283,7,18,449,1244,492,1049,-43,195
1986,1284,19,7,1282,493,1521,446,-239,47
1986,1285,10,18,665,1394,750,1180,-85,214
1986,1286,15,12,1118,992,1245,865,-127,127
1986,1287,19,4,1184,311,1414,283,-230,28
1986,1288,20,7,1112,502,1492,451,-380,51
1986,1290,8,18,518,1370,586,1167,-68,203
1986,1292,9,18,630,1522,689,1305,-59,217
1986,1293,12,13,770,949,956,843,-186,106
1986,1296,12,12,833,873,945,789,-112,84
1986,1298,4,25,250,1957,305,1510,-55,447
1986,1299,7,18,415,1169,461,970,-46,199
1986,1301,12,16,762,1204,851,918,-89,286
1986,1304,10,17,647,1249,767,1047,-120,202
1986,1305,15,11,1009,838,1198,747,-189,91
1986,1306,17,11,1023,714,1204,662,-181,52
1986,1307,13,17,770,1255,873,1039,-103,216
1986,1308,12,14,760,1001,867,858,-107,143
1986,1309,12,14,790,1115,907,894,-117,221
1986,1310,14,14,910,1071,1122,914,-212,157
1986,1311,12,8,774,577,924,512,-150,65
1986,1314,5,26,359,2346,406,1715,-47,631
1986,1317,18,8,1140,570,1343,509,-203,61
1986,1318,4,25,252,1902,296,1584,-44,318
1986,1319,9,15,596,1106,677,921,-81,185
1986,1320,18,5,1215,383,1435,307,-220,76
1986,1321,20,4,1164,283,1564,261,-400,22
1986,1322,13,10,751,717,916,627,-165,90
1986,1323,5,22,343,1782,377,1363,-34,419
1986,1325,7,20,502,1559,604,1338,-102,221
1986,1326,14,14,985,1130,1088,974,-103,156
1986,1328,8,22,632,1969,677,1624,-45,345
1986,1329,12,12,776,926,923,807,-147,119
1986,1330,7,20,444,1346,527,1121,-83,225
1986,1331,18,9,1120,720,1309,569,-189,151
1986,1332,16,11,991,849,1115,663,-124,186
1986,1333,15,12,864,780,988,670,-124,110
1986,1334,13,15,857,1011,986,891,-129,120
1986,1335,11,15,626,1145,745,1008,-119,137
1986,1336,17,10,948,674,1189,559,-241,115
1986,1337,4,24,238,1953,294,1614,-56,339
1986,1338,13,13,877,1095,981,859,-104,236
1986,1339,15,10,838,632,995,550,-157,82
1986,1341,24,4,1481,329,1838,280,-357,49
1986,1343,13,12,640,736,760,619,-120,117
1986,1344,13,14,919,1219,1067,1029,-148,190
1986,1345,9,20,610,1593,687,1321,-77,272
1986,1347,15,9,904,632,1087,552,-183,80
1986,1348,19,7,1215,485,1408,425,-193,60
1986,1349,19,5,1064,301,1264,287,-200,14
1986,1350,6,23,382,1544,432,1280,-50,264
1986,1351,18,6,1192,445,1452,382,-260,63
1986,1352,17,9,1066,626,1257,527,-191,99
1986,1353,21,8,1239,585,1556,516,-317,69
1986,1354,18,9,1164,656,1343,603,-179,53
1986,1356,20,6,1178,411,1468,383,-290,28
1986,1359,13,12,821,884,984,817,-163,67
1986,1360,9,17,537,1275,602,996,-65,279
1986,1361,19,10,1377,790,1542,681,-165,109
1986,1362,21,3,1243,242,1524,227,-281,15
1986,1363,12,14,726,968,807,846,-81,122
1986,1364,15,10,1033,740,1165,669,-132,71
1986,1365,15,9,902,636,1071,551,-169,85
1986,1368,15,9,980,706,1155,629,-175,77
1986,1371,18,10,1171,790,1391,655,-220,135
1986,1373,7,20,460,1448,559,1247,-99,201
1986,1374,10,18,569,1261,682,1043,-113,218
1986,1375,16,13,949,882,1087,784,-138,98
1986,1376,16,12,1086,985,1285,769,-199,216
1986,1378,14,13,717,896,858,777,-141,119
1986,1379,11,13,753,1068,863,994,-110,74
1986,1380,8,19,566,1445,623,1171,-57,274
1986,1382,13,12,863,906,1009,823,-146,83
1986,1383,18,6,1104,400,1310,363,-206,37
1986,1384,18,9,1286,703,1555,669,-269,34
1986,1385,4,30,283,2345,299,1928,-16,417
1986,1386,5,25,287,1804,359,1514,-72,290
1986,1387,12,15,729,1055,844,885,-115,170
1986,1388,17,6,1077,482,1329,455,-252,27
1986,1389,12,15,572,976,673,805,-101,171
1986,1390,16,11,1070,857,1238,738,-168,119
1986,1391,18,9,1117,704,1365,596,-248,108
1986,1393,5,24,372,2026,397,1570,-25,456
1986,1395,8,18,501,1249,534,990,-33,259
1986,1396,5,24,314,1678,350,1332,-36,346
1986,1397,16,12,972,908,1156,749,-184,159
1986,1398,14,12,840,800,1080,710,-240,90
1986,1399,15,11,974,768,1143,665,-169,103
1986,1400,11,16,675,1043,760,880,-85,163
1986,1401,11,19,679,1367,798,1161,-119,206
1986,1402,18,6,1153,441,1427,393,-274,48
1986,1403,13,16,759,1040,882,949,-123,91
1986,1405,16,11,1007,879,1217,800,-210,79
1986,1406,20,8,1194,635,1432,550,-238,85
1986,1409,8,21,465,1418,503,1166,-38,252
1986,1410,8,16,518,1159,571,928,-53,231
1986,1411,17,8,1104,589,1401,524,-297,65
1986,1412,10,22,620,1554,673,1244,-53,310
1986,1414,12,16,826,1398,964,1228,-138,170
1986,1416,20,4,1281,292,1583,260,-302,32
1986,1417,13,15,860,1240,1042,1037,-182,203
1986,1418,13,14,840,1028,962,871,-122,157
1986,1419,9,19,617,1392,679,1138,-62,254
1986,1423,13,13,846,979,993,762,-147,217
1986,1424,4,31,313,2467,339,2066,-26,401
1986,1425,17,11,1113,831,1276,711,-163,120
1986,1426,16,9,1112,679,1271,618,-159,61
1986,1427,23,4,1418,325,1739,286,-321,39
1986,1428,9,19,601,1416,709,1220,-108,196
1986,1429,16,12,1180,971,1381,881,-201,90
1986,1431,5,27,317,1845,355,1548,-38,297
1986,1432,14,9,814,665,1042,605,-228,60
1986,1433,16,12,958,853,1060,746,-102,107
1986,1434,19,5,1094,378,1415,341,-321,37
1986,1435,15,13,1003,945,1184,847,-181,98
1986,1436,19,6,1209,362,1420,323,-211,39
1986,1437,13,21,824,1554,966,1305,-142,249
1986,1438,10,19,631,1412,719,1157,-88,255
1986,1439,8,21,606,1702,682,1448,-76,254
1986,1440,17,7,1170,519,1345,477,-175,42
1986,1441,14,12,947,869,1104,800,-157,69
1986,1442,15,9,956,617,1133,550,-177,67
1986,1443,7,20,427,1408,481,1189,-54,219
1986,1444,16,9,1079,658,1258,583,-179,75
1986,1446,17,7,875,450,1044,410,-169,40
1986,1447,12,13,823,1136,946,1024,-123,112
1986,1448,21,7,1199,478,1471,426,-272,52
1986,1449,11,19,742,1423,840,1227,-98,196
1986,1450,16,15,1067,1058,1197,978,-130,80
1986,1451,11,15,743,1218,843,1052,-100,166
1986,1452,10,21,617,1551,686,1288,-69,263
1986,1453,22,3,1183,176,1506,156,-323,20
1986,1455,14,13,835,881,961,770,-126,111
1986,1456,20,7,1020,460,1327,386,-307,74
1986,1458,16,9,1073,647,1295,587,-222,60
1986,1461,11,18,699,1290,805,1123,-106,167
1986,1462,4,23,269,1847,293,1599,-24,248
1986,1463,11,12,797,849,895,751,-98,98
