Season,Team,pointsFor,pointsAgainst,Wins,Losses,Awins,Hwins,Nwins,Hloss,Aloss,Nloss,Seed,SeedNum,BestWin,BestWinSeed,BestWinWin%
1985,1268,2372,2179,22,11,5,14,3,2,6,3,Z05,5.0,1181.0,3.0,0.7586206896551724
1985,1269,1754,1810,12,15,6,6,0,5,8,2,,,1318.0,14.0,0.7142857142857143
1985,1270,1797,1753,14,10,7,7,0,4,3,3,,,1368.0,,0.6521739130434783
1985,1271,1482,1935,2,23,0,2,0,6,15,2,,,1126.0,,0.24
1985,1272,2179,1876,26,3,10,14,2,0,3,0,Y02,2.0,1233.0,13.0,0.8620689655172413
1985,1273,2213,1989,20,8,7,10,3,3,5,0,W15,15.0,1204.0,,0.8
1985,1275,2040,1916,18,10,5,10,3,1,7,2,Z12,12.0,1325.0,14.0,0.7407407407407407
1985,1276,2233,1935,25,3,9,16,0,1,2,0,Z01,1.0,1242.0,3.0,0.7666666666666667
1985,1277,2027,1851,19,9,10,9,0,4,4,1,Y10,10.0,1361.0,13.0,0.7666666666666667
1985,1278,1854,1943,13,15,4,9,0,6,8,1,,,1228.0,3.0,0.7419354838709677
1985,1279,1455,1669,8,17,1,6,1,7,9,1,,,1261.0,4.0,0.6785714285714286
1985,1280,1669,1678,11,15,2,9,0,3,10,2,,,1208.0,6.0,0.7037037037037037
1985,1281,2057,2034,16,13,4,10,2,3,8,2,,,1242.0,3.0,0.7666666666666667
1985,1283,1806,1763,13,13,4,9,0,3,9,1,,,1156.0,,0.6923076923076923
1985,1284,1682,1779,9,15,3,5,1,5,10,0,,,1134.0,,0.4583333333333333
1985,1285,1740,1598,18,7,5,13,0,1,6,0,,,1318.0,14.0,0.7142857142857143
1985,1286,1736,1779,9,16,2,7,0,3,12,1,,,1285.0,,0.72
1985,1287,1412,1693,3,20,0,3,0,5,14,1,,,1399.0,,0.6521739130434783
1985,1288,1799,2403,2,24,0,2,0,6,18,0,,,1271.0,,0.08
1985,1290,1739,1625,11,11,3,7,1,2,8,1,,,1368.0,,0.6521739130434783
1985,1292,1748,1745,13,13,2,10,1,3,10,0,Z15,15.0,1293.0,,0.6666666666666666
1985,1293,1587,1430,16,8,5,10,1,1,6,1,,,1399.0,,0.6521739130434783
1985,1296,1684,1825,9,16,1,7,1,2,13,1,,,1275.0,12.0,0.6428571428571429
1985,1298,2190,1885,23,5,10,10,3,1,4,0,Z13,13.0,1192.0,16.0,0.6785714285714286
1985,1299,1703,1619,16,8,5,9,2,0,6,2,Y16,16.0,1224.0,,0.6153846153846154
1985,1301,2146,1893,20,9,4,14,2,2,5,2,X03,3.0,1210.0,2.0,0.7741935483870968
1985,1304,1754,1723,12,13,3,8,1,3,10,0,,,1403.0,6.0,0.7586206896551724
1985,1305,2185,2095,19,9,6,11,2,1,8,0,X14,14.0,1424.0,4.0,0.9
1985,1306,1701,1911,7,22,3,4,0,10,10,2,,,1318.0,14.0,0.7142857142857143
1985,1307,2020,1933,17,12,5,12,0,6,5,1,,,1361.0,13.0,0.7666666666666667
1985,1308,1867,2061,7,20,3,3,1,11,9,0,,,1431.0,11.0,0.6896551724137931
1985,1309,1910,2057,10,19,2,8,0,7,10,2,,,1427.0,,0.64
1985,1310,1881,1877,15,12,5,10,0,5,6,1,,,1385.0,1.0,0.9
1985,1311,1658,1540,15,8,6,9,0,3,5,0,,,1380.0,16.0,0.6428571428571429
1985,1314,2317,2080,23,8,5,7,11,2,3,3,Z02,2.0,1181.0,3.0,0.7586206896551724
1985,1317,1640,2008,4,22,1,3,0,6,13,3,,,1427.0,,0.64
1985,1318,2159,1941,20,8,7,11,2,2,4,2,W14,14.0,1373.0,,0.7407407407407407
1985,1319,1775,1818,14,12,4,7,3,2,8,2,,,1285.0,,0.72
1985,1320,1530,1652,8,16,2,6,0,6,8,2,,,1283.0,,0.5
1985,1321,1433,1721,4,22,1,3,0,10,12,0,,,1234.0,8.0,0.6666666666666666
1985,1322,1596,1949,1,23,0,0,1,9,12,2,,,1147.0,,0.16666666666666666
1985,1323,1956,1744,20,8,4,14,2,2,5,1,Z07,7.0,1449.0,5.0,0.7096774193548387
1985,1325,1824,1701,20,7,7,10,3,0,5,2,Z14,14.0,1275.0,12.0,0.6428571428571429
1985,1326,2178,2047,19,9,4,12,3,2,6,1,Y04,4.0,1228.0,3.0,0.7419354838709677
1985,1327,1442,1660,3,19,1,1,1,8,9,2,,,1191.0,,0.4074074074074074
1985,1328,2695,2296,25,5,6,14,5,0,3,2,Y01,1.0,1256.0,5.0,0.9285714285714286
1985,1329,1926,1944,11,15,2,7,2,4,10,1,,,1223.0,,0.68
1985,1330,2126,2069,18,11,6,9,3,3,6,2,W12,12.0,1412.0,7.0,0.7333333333333333
1985,1331,2157,2121,14,15,4,10,0,7,8,0,,,1139.0,,0.6666666666666666
1985,1332,1790,1824,13,16,4,7,2,5,8,3,,,1285.0,,0.72
1985,1333,1795,1660,21,8,9,9,3,4,4,0,Z10,10.0,1201.0,,0.7142857142857143
1985,1334,1646,1883,7,19,1,6,0,7,10,2,,,1429.0,,0.5925925925925926
1985,1335,1777,1749,13,13,5,7,1,6,5,2,Y15,15.0,1217.0,,0.5714285714285714
1985,1336,1526,1724,5,19,2,3,0,8,9,2,,,1298.0,13.0,0.8214285714285714
1985,1337,2043,1897,20,7,7,12,1,0,6,1,Y14,14.0,1365.0,,0.6666666666666666
1985,1338,1826,1759,15,11,4,11,0,4,5,2,Y12,12.0,1452.0,,0.6923076923076923
1985,1339,1474,1569,10,14,4,6,0,6,7,1,,,1305.0,14.0,0.6785714285714286
1985,1341,1771,2032,5,21,0,5,0,7,13,1,,,1290.0,,0.5
1985,1343,1262,1355,9,15,4,4,1,2,12,1,,,1217.0,,0.5714285714285714
1985,1344,1890,2089,10,19,2,6,2,9,9,1,,,1224.0,,0.6153846153846154
1985,1345,1728,1633,17,8,6,10,1,4,4,0,Z06,6.0,1228.0,3.0,0.7419354838709677
1985,1347,1731,1702,14,12,5,8,1,1,11,0,,,1441.0,,0.44
1985,1348,1629,1819,6,20,2,4,0,7,11,2,,,1353.0,,0.5333333333333333
1985,1349,1518,1665,8,16,2,6,0,6,9,1,,,1323.0,7.0,0.7142857142857143
1985,1350,2005,1811,19,10,7,9,3,3,6,1,,,1206.0,,0.6071428571428571
1985,1351,1792,1900,11,15,3,6,2,5,9,1,,,1347.0,,0.5384615384615384
1985,1352,1701,1870,7,19,2,4,1,3,14,2,,,1137.0,,0.6
1985,1353,2190,2143,16,14,3,13,0,4,7,3,,,1386.0,,0.6206896551724138
1985,1354,1637,1723,9,15,3,6,0,3,10,2,,,1299.0,16.0,0.6666666666666666
1985,1356,1892,1888,12,14,3,9,0,5,9,0,,,1298.0,13.0,0.8214285714285714
1985,1359,1959,1877,15,11,5,9,1,3,8,0,,,1273.0,15.0,0.7142857142857143
1985,1360,1395,1416,12,11,4,8,0,5,3,3,,,1305.0,14.0,0.6785714285714286
1985,1361,2423,2165,23,7,7,13,3,3,4,0,X13,13.0,1431.0,11.0,0.6896551724137931
1985,1363,1883,1818,14,13,5,7,2,4,8,1,,,1325.0,14.0,0.7407407407407407
1985,1364,1760,1832,10,16,3,7,0,5,10,1,,,1168.0,,0.5517241379310345
1985,1365,1730,1583,16,8,7,8,1,3,4,1,,,1305.0,14.0,0.6785714285714286
1985,1368,1664,1599,15,8,5,9,1,0,8,0,,,1311.0,,0.6521739130434783
1985,1371,1793,1912,7,18,0,3,4,5,10,3,,,1299.0,16.0,0.6666666666666666
1985,1373,1912,1746,20,7,6,14,0,2,5,0,,,1145.0,,0.6666666666666666
1985,1374,2279,2019,22,8,4,15,3,1,6,1,W05,5.0,1328.0,1.0,0.8333333333333334
1985,1375,2054,1919,14,13,4,9,1,5,7,1,,,1412.0,7.0,0.7333333333333333
1985,1376,1908,1929,13,13,0,13,0,2,11,0,,,1272.0,2.0,0.896551724137931
1985,1378,1912,1769,17,11,5,11,1,6,4,1,,,1433.0,2.0,0.8333333333333334
1985,1379,1685,1828,5,20,1,3,1,6,11,3,,,1270.0,,0.5833333333333334
1985,1380,2374,2175,18,10,6,9,3,3,7,0,X16,16.0,1108.0,,0.76
1985,1382,1738,1753,12,15,4,5,3,6,8,1,,,1145.0,,0.6666666666666666
1985,1383,1358,1592,3,21,0,3,0,7,10,4,,,1192.0,16.0,0.6785714285714286
1985,1384,1976,2134,8,18,2,6,0,4,12,2,,,1259.0,,0.5185185185185185
1985,1385,2284,1932,27,3,7,12,8,1,1,1,X01,1.0,1207.0,1.0,0.9259259259259259
1985,1386,1879,1773,18,11,5,9,4,0,7,4,,,1396.0,8.0,0.8275862068965517
1985,1387,1577,1604,10,15,4,6,0,5,10,0,,,1139.0,,0.6666666666666666
1985,1388,1501,1461,11,12,3,7,1,3,8,1,,,1337.0,14.0,0.7407407407407407
1985,1389,1783,1756,14,14,6,6,2,3,8,3,,,1224.0,,0.6153846153846154
1985,1390,1560,1676,7,17,1,5,1,7,9,1,,,1425.0,8.0,0.6785714285714286
1985,1391,1573,1726,10,14,3,6,1,4,6,4,,,1273.0,15.0,0.7142857142857143
1985,1393,2140,1969,21,8,5,13,3,2,3,3,W07,7.0,1207.0,1.0,0.9259259259259259
1985,1395,1670,1623,13,12,5,7,1,4,5,3,,,1361.0,13.0,0.7666666666666667
1985,1396,1903,1672,24,5,10,8,6,0,3,2,W08,8.0,1337.0,14.0,0.7407407407407407
1985,1397,2393,2321,18,14,2,14,2,3,8,3,,,1276.0,1.0,0.8928571428571429
1985,1398,1681,1834,7,19,2,5,0,4,11,4,,,1197.0,,0.3333333333333333
1985,1399,1605,1531,15,8,5,10,0,1,7,0,,,1151.0,,0.7307692307692307
1985,1400,1610,1616,12,13,3,9,0,4,8,1,,,1403.0,6.0,0.7586206896551724
1985,1401,1778,1671,17,9,8,6,3,3,3,3,,,1403.0,6.0,0.7586206896551724
1985,1402,1584,1851,6,19,2,4,0,6,12,1,,,1426.0,,0.36
1985,1403,2004,1825,22,7,7,11,4,3,4,0,Y06,6.0,1374.0,5.0,0.7333333333333333
1985,1405,1873,1829,15,12,3,12,0,4,8,0,,,1108.0,,0.76
1985,1406,1627,1846,5,20,1,4,0,7,13,0,,,1137.0,,0.6
1985,1408,1676,1642,14,13,3,10,1,2,10,1,,,1311.0,,0.6521739130434783
1985,1409,2327,2098,22,7,7,15,0,3,3,1,X06,6.0,1328.0,1.0,0.8333333333333334
1985,1410,1585,1653,8,16,4,3,1,9,6,1,,,1223.0,,0.68
1985,1411,1841,1843,10,16,3,7,0,3,12,1,,,1431.0,11.0,0.6896551724137931
1985,1412,1981,1851,22,8,5,12,5,3,3,2,Y07,7.0,1433.0,2.0,0.8333333333333334
1985,1414,2157,2232,11,17,5,5,1,7,8,2,,,1337.0,14.0,0.7407407407407407
1985,1416,1583,1828,9,17,4,5,0,6,10,1,,,1311.0,,0.6521739130434783
1985,1417,1854,1748,15,12,4,11,0,3,8,1,,,1333.0,10.0,0.7241379310344828
1985,1418,2011,1867,14,13,5,9,0,3,9,1,,,1201.0,,0.7142857142857143
1985,1419,1965,1867,15,12,8,7,0,4,8,0,,,1368.0,,0.6521739130434783
1985,1423,1631,1737,9,16,3,6,0,4,10,2,,,1206.0,,0.6071428571428571
1985,1424,2480,2177,27,3,9,15,3,0,3,0,X04,4.0,1201.0,,0.7142857142857143
1985,1425,1915,1809,19,9,8,9,2,5,3,1,Y08,8.0,1333.0,10.0,0.7241379310344828
1985,1426,1806,2010,9,16,3,5,1,5,10,1,,,1427.0,,0.64
1985,1427,1881,1775,16,9,4,11,1,1,7,1,,,1168.0,,0.5517241379310345
1985,1428,2132,2179,14,16,4,10,0,7,9,0,,,1361.0,13.0,0.7666666666666667
1985,1429,2265,2251,16,11,7,9,0,3,7,1,,,1451.0,,0.6538461538461539
1985,1431,2134,1916,20,9,5,14,1,4,5,0,X11,11.0,1361.0,13.0,0.7666666666666667
1985,1432,1460,1446,11,12,4,7,0,4,8,0,,,1192.0,16.0,0.6785714285714286
1985,1433,2173,1877,25,5,9,12,4,1,4,0,X02,2.0,1412.0,7.0,0.7333333333333333
1985,1434,1515,1778,5,19,1,3,1,8,10,1,,,1283.0,,0.5
1985,1435,1973,2027,11,17,2,9,0,7,9,1,,,1208.0,6.0,0.7037037037037037
1985,1436,1462,1748,6,19,3,3,0,9,10,0,,,1284.0,,0.375
1985,1437,2073,1937,19,10,7,7,5,2,7,1,Z08,8.0,1396.0,8.0,0.8275862068965517
1985,1438,1690,1697,13,15,2,8,3,4,9,2,,,1210.0,2.0,0.7741935483870968
1985,1439,2191,1868,19,8,6,11,2,2,4,2,W09,9.0,1452.0,,0.6923076923076923
1985,1440,1540,1594,12,14,2,8,2,5,8,1,,,1151.0,,0.7307692307692307
1985,1441,1802,1801,11,14,3,7,1,4,8,2,,,1440.0,,0.46153846153846156
1985,1442,1632,1693,11,13,3,8,0,3,8,2,,,1156.0,,0.6923076923076923
1985,1443,1889,1783,13,14,1,11,1,3,10,1,,,1330.0,12.0,0.6206896551724138
1985,1444,1862,1963,9,16,2,7,0,4,10,2,,,1325.0,14.0,0.7407407407407407
1985,1446,1674,1822,7,17,0,5,2,4,12,1,,,1409.0,6.0,0.7586206896551724
1985,1447,1760,1872,8,16,1,7,0,3,10,3,,,1259.0,,0.5185185185185185
1985,1448,1943,1850,14,13,2,10,2,3,7,3,,,1210.0,2.0,0.7741935483870968
1985,1449,2019,1816,22,9,9,11,2,2,6,1,X05,5.0,1403.0,6.0,0.7586206896551724
1985,1450,1656,1738,11,15,3,7,1,5,10,0,,,1285.0,,0.72
1985,1451,2036,1817,17,9,5,12,0,1,7,1,,,1285.0,,0.72
1985,1452,1784,1677,18,8,5,11,2,2,5,1,,,1396.0,8.0,0.8275862068965517
1985,1453,1438,1642,2,22,0,2,0,8,13,1,,,1211.0,,0.48
1985,1455,2236,2084,17,12,7,10,0,6,3,3,W11,11.0,1409.0,6.0,0.7586206896551724
1985,1456,1777,1784,15,12,4,10,1,4,7,1,,,1206.0,,0.6071428571428571
1985,1458,1783,1883,12,14,2,8,2,5,9,0,,,1326.0,4.0,0.6785714285714286
1985,1461,1653,1704,12,14,2,9,1,4,9,1,,,1431.0,11.0,0.6896551724137931
1985,1462,2009,1965,15,13,4,9,2,3,9,1,,,1260.0,4.0,0.8333333333333334
1985,1463,1550,1670,11,12,2,9,0,1,9,2,,,1217.0,,0.5714285714285714
1985,1464,1860,1818,16,11,3,10,3,1,10,0,,,1156.0,,0.6923076923076923
1986,1102,1464,1642,6,19,2,3,1,8,10,1,,,1307.0,,0.5666666666666667
1986,1103,1825,1719,18,7,8,10,0,1,6,0,X15,15.0,1292.0,,0.6666666666666666
1986,1104,2257,2019,22,8,5,13,4,1,7,0,Y05,5.0,1428.0,14.0,0.6785714285714286
1986,1106,1892,2018,8,16,2,6,0,3,12,1,,,1238.0,,0.4642857142857143
1986,1108,1893,1872,14,11,5,7,2,0,7,4,,,1380.0,,0.7037037037037037
1986,1109,2169,2477,5,19,0,5,0,4,15,0,,,1352.0,,0.34615384615384615
1986,1110,1685,1880,7,18,3,3,1,5,11,2,,,1423.0,,0.5
1986,1111,1561,1660,13,12,5,7,1,3,8,1,,,1151.0,,0.6666666666666666
1986,1112,1972,1794,21,8,6,14,1,0,6,2,Z09,9.0,1143.0,,0.6538461538461539
1986,1113,1713,1797,11,14,1,10,0,2,10,2,,,1112.0,9.0,0.7241379310344828
1986,1114,2398,2190,21,9,8,10,3,2,4,3,X14,14.0,1292.0,,0.6666666666666666
1986,1116,1955,1983,12,16,3,9,0,7,8,1,,,1283.0,,0.72
